Datum,Last Transaction,Maximum,Minimum,Average,Change,Amount,Total
20.10.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
19.10.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
18.10.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
17.10.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
16.10.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
13.10.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
12.10.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
10.10.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
09.10.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
06.10.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
05.10.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
04.10.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
03.10.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
02.10.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
29.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
28.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
27.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
26.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
25.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
22.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
21.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
20.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
19.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
18.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
15.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
14.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
13.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
12.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
11.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
07.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
06.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
05.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
04.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
01.9.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
31.8.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,00",0.0,0
